workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,screening_status,source_sheet
503,2022,privacy‐enhanced intrusion detection and defense for cyber‐physical systems: a deep reinforcement learning approach,"['q lin', 'r ming', 'k zhang', 'h luo']",security and communication networks (discontinued),google,9,,3,-,quartile,excluded,excluded
505,2025,"a cutting-edge framework for industrial intrusion detection: privacy-preserving, cost-friendly, and powered by federated learning","['l zhu', 'b zhao', 'j guo', 'm ji', 'j peng']",applied intelligence,google,0,,,Q2,quartile,excluded,excluded
507,2023,toward improved machine learning-based intrusion detection for internet of things traffic,"['s alkadi', 's al-ahmadi', 'mm ben ismail']",computers,google,14,,7,Q2,quartile,excluded,excluded
517,2023,analyze textual data: deep neural network for adversarial inversion attack in wireless networks,['ma al ghamdi'],sn applied sciences,google,3,,1.5,Q2,quartile,excluded,excluded
535,2025,deep intrusion net: an efficient framework for network intrusion detection using hybrid deep tcn and gru with integral features,"['ya rani', 'es reddy']",wireless networks,google,3,,inf,Q2,quartile,excluded,excluded
540,2024,advanced hybrid transformer-cnn deep learning model for effective intrusion detection systems with class imbalance mitigation using resampling …,"['h kamal', 'm mashaly']",future internet,google,6,,6,Q2,quartile,excluded,excluded
566,2023,research on hybrid intrusion detection based on improved harris hawk optimization algorithm,"['p zhou', 'h zhang', 'w liang']",connection science,google,22,,11,Q2,quartile,excluded,excluded
598,2023,the top ten artificial intelligence-deep neural networks for iot intrusion detection system,"['v kanimozhi', 'tp jacob']",wireless personal communications,google,9,,4.5,Q2,quartile,excluded,excluded
601,2025,a comprehensive survey on deep learning‐based intrusion detection systems in internet of things (iot),"['qa al‐haija', 'a droos']",expert systems,google,3,,inf,Q2,quartile,excluded,excluded
627,2024,original research article network intrusion detection using ensemble weighted voting classifier based honeypot framework,"['p pothumani', 'es reddy']",journal of autonomous intelligence,google,5,,5,Q4,quartile,excluded,excluded
647,2025,overview on intrusion detection systems for computers networking security,"['l diana', 'p dini', 'd paolini']",computers,google,3,,inf,Q2,quartile,excluded,excluded
653,2024,adaptive weighted kernel support vector machine-based circle search approach for intrusion detection in iot environments,"['c geetha', 'sd johnson', 'as oliver', 'd lekha']","signal, image and video processing",google,6,,6,Q2,quartile,excluded,excluded
667,2022,fidchain: federated intrusion detection system for blockchain-enabled iot healthcare applications,"['e ashraf', 'nff areed', 'h salem', 'eh abdelhay', 'a farouk']",healthcare,google,76,,25.333333333333329,Q2,quartile,excluded,excluded
671,2023,intrusion detection for high-speed railways based on unsupervised anomaly detection models,"['y wang', 'z yu', 'l zhu']",applied intelligence,google,20,,10,Q2,quartile,excluded,excluded
673,2022,an efficient network intrusion detection and classification system,"['i ahmad', 'qe ul haq', 'm imran', 'mo alassafi']",mathematics,google,55,,18.333333333333329,Q2,quartile,excluded,excluded
696,2023,design of advanced intrusion detection systems based on hybrid machine learning techniques in hierarchically wireless sensor networks,"['gg gebremariam', 'j panda', 's indu']",connection science,google,24,,12,Q2,quartile,excluded,excluded
706,2024,"systematic literature review on intrusion detection systems: research trends, algorithms, methods, datasets, and limitations","['mm issa', 'm aljanabi', 'hm muhialdeen']",journal of intelligent systems,google,7,,7,Q3,quartile,excluded,excluded
781,2022,generate qualified adversarial attacks and foster enhanced models based on generative adversarial networks,"['j he', 'l luo', 'k xiao', 'x fang', 'y li']",intelligent data analysis,google,1,,0.33333333333333331,Q3,quartile,excluded,excluded
793,2024,a multi-constraint transfer approach with additional auxiliary domains for iot intrusion detection under unbalanced samples distribution,"['r liu', 'w ma', 'j guo']",applied intelligence,google,2,,2,Q2,quartile,excluded,excluded
