workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,screening_status,source_sheet
1637,2023,intrusion detection system in iot using grey wolf optimization-based support vector machine,k. ramakrishna; n. yamsani; i. h. mohammed; h. mohammad; k. al-attabi,international conference on integrated intelligence and communication systems (iciics),ieee,0,1,0,,h5-index,excluded,excluded
1658,2023,to ttp or not to ttp?: exploiting ttps to improve ml-based malware detection,y. sharma; e. giunchiglia; s. birnbach; i. martinovic,ieee international conference on cyber security and resilience (csr),ieee,7,12,3.5,,h5-index,excluded,excluded
1661,2023,a simple yet efficient unsupervised anomaly detection network for industrial machine,d. wu; q. chen,"ieee international conference on automation, electronics and electrical engineering (auteee)",ieee,0,11,0,,h5-index,excluded,excluded
1663,2024,"a comprehensive survey on anomaly detection in social media networks: challenges, methods, and future directions",s. lunawat; j. rao; p. patil,international conference on sustainable expert systems (icses),ieee,1,6,1,,h5-index,excluded,excluded
1674,2022,a generative model for evasion attacks in smart grid,v. p. k. madhavarapu; s. bhattacharjee; s. k. dasy,ieee infocom - ieee conference on computer communications workshops (infocom wkshps),ieee,3,0,1,,h5-index,excluded,excluded
1675,2022,a pursuit strategy for multi-agent pursuit-evasion game via multi-agent deep deterministic policy gradient algorithm,j. ye; q. wang; b. ma; y. wu; l. xue,ieee international conference on unmanned systems (icus),ieee,6,13,2,,h5-index,excluded,excluded
1684,2023,optimal maneuvering strategy of spacecraft evasion based on angles-only measurement and observability analysis,y. zhang; j. wang; b. hou; d. wang; y. chen,journal of systems engineering and electronics,ieee,7,,3.5,Q2,quartile,excluded,excluded
1691,2022,are malware detection models adversarial robust against evasion attack?,h. rathore; a. samavedhi; s. k. sahay; m. sewak,ieee infocom - ieee conference on computer communications workshops (infocom wkshps),ieee,1,0,0.33333333333333331,,h5-index,excluded,excluded
1695,2023,natural language processing in healthcare: intelligent system for extracting insights from clinical text data,c. rashmi; d. srinivas; s. prabu; p. n. santosh kumar; a. siddiqua,international conference on evolutionary algorithms and soft computing techniques (easct),ieee,2,3,1,,h5-index,excluded,excluded
1701,2024,a secure approach for strengthening session management with custom session handlers,u. kumaran; m. gurupriya; a. g. reddy; g. nithin; k. bhanusri,international conference on self sustainable artificial intelligence systems (icssas),ieee,0,10,0,,h5-index,excluded,excluded
1713,2023,attack tree analysis for adversarial evasion attacks,y. yamaguchi; t. aoki,ieee pacific rim international symposium on dependable computing (prdc),ieee,1,11,0.5,,h5-index,excluded,excluded
1724,2024,fail-controlled classifiers: do they know when they don’t know?,t. zoppi; f. a. khokhar; a. ceccarelli; l. montecchi; a. bondavalli,ieee pacific rim international symposium on dependable computing (prdc),ieee,0,11,0,,h5-index,excluded,excluded
1728,2023,many-to-one pursuit-evasion differential game method for uavs using sequential convex programming,h. tang; g. chen; c. bai; j. guo,ieee international conference on unmanned systems (icus),ieee,3,13,1.5,,h5-index,excluded,excluded
1735,2022,a hybrid anomaly detection model based on ganomaly in cloud environment,w. yang; c. zeng,ieee international conference on big data and artificial intelligence (bdai),ieee,2,8,0.66666666666666663,,h5-index,excluded,excluded
1765,2025,generative ai for automated security operations in cloud computing,a. patel; p. pandey; h. ragothaman; r. molleti; d. r. peddinti,ieee international conference on ai in cybersecurity (icaic),ieee,0,0,,,h5-index,excluded,excluded
1767,2024,pearson correlation coefficient based improved least square - support vector machine for cyber-attack detection in internet of things,a. senthilkumar; s. joshika; l. santhi; s. k s; p. charanarur,international conference on distributed computing and electrical circuits and electronics (icdcece),ieee,2,11,2,,h5-index,excluded,excluded
1771,2022,an optimal guidance method for free-time orbital pursuit-evasion game,c. zhang; y. zhu; l. yang; x. zeng,journal of systems engineering and electronics,ieee,8,,2.666666666666667,Q2,quartile,excluded,excluded
1772,2023,an automl based trajectory optimization method for long-distance spacecraft pursuit-evasion game,f. yang; l. yang; y. zhu,journal of systems engineering and electronics,ieee,1,,0.5,Q2,quartile,excluded,excluded
1790,2023,vulnerability exploit pattern generation and analysis for proactive security risk mitigation for 5g networks,w. sędkowski; r. p. bhatt; c. fernandes; k. ranganath,ieee infocom - ieee conference on computer communications workshops (infocom wkshps),ieee,1,0,0.5,,h5-index,excluded,excluded
1793,2024,work-in-progress: cangen: practical synthetic can traces generation using deep generative models,y. yin; j. g. merchan; p. pappachan; v. sekar,ieee european symposium on security and privacy workshops (euros&pw),ieee,1,0,1,,h5-index,excluded,excluded
1806,2023,a wolf in sheep’s clothing: query-free evasion attacks against machine learning-based malware detectors with generative adversarial networks,d. gibert; j. planes; q. le; g. zizzo,ieee european symposium on security and privacy workshops (euros&pw),ieee,13,0,6.5,,h5-index,excluded,excluded
1838,2024,label noise resistant f-divergence receiver for power line communications,n. novello; a. m. tonello,"ieee international conference on communications, control, and computing technologies for smart grids (smartgridcomm)",ieee,0,0,0,,h5-index,excluded,excluded
1869,2024,application of cyber-physical system models in detection and mitigation of cyberattacks in a transactive energy system: a review,o. tooki; o. popoola,international conference on emerging trends in networks and computer communications (etncc),ieee,1,0,1,,h5-index,excluded,excluded
1927,2024,counter-encirclement of uav in pursuit-evasion environment via improved rl,y. niu; y. tian; q. wang,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
1945,2023,the zero-missed isolation of constrained collusive covert attacks in large-scale systems,d. zhao; g. wen,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
1984,2022,identification of sars-cov-2 viral escape sequences using escapetrans network,p. s. bist; h. tavara; k. t. chong,international conference on information and communication technology convergence (ictc),ieee,2,0,0.66666666666666663,,h5-index,excluded,excluded
1994,2022,stealthy attack detection for privacy-preserving real-time pricing in smart grids,f. wu; x. wang; m. yang; h. zhang; x. wu; j. yu,asian control conference (ascc),ieee,0,11,0,,h5-index,excluded,excluded
1998,2023,attacking a packet analyzer: caronte case study,d. granata; m. rak; f. grimaldi,ieee international conference on cyber security and resilience (csr),ieee,0,12,0,,h5-index,excluded,excluded
2005,2024,qualitative analysis of visibility-based game with constrained attack range,s. bu; l. liang; z. wang; y. wang,asian control conference (ascc),ieee,0,11,0,,h5-index,excluded,excluded
2006,2024,improving adversarial attacks on graph neural networks with honey badger optimization and efficient parallel defense strategies,a. singla; m. sunil; d. dongre; v. d. babu; s. mahajan; p. sharmila,international conference on recent advances in science and engineering technology (icraset),ieee,0,0,0,,h5-index,excluded,excluded
2010,2024,safety-critical control for multi-agent collaborative pursuit,z. chang; q. he; z. li; h. yan,asian control conference (ascc),ieee,0,11,0,,h5-index,excluded,excluded
2016,2024,evasive spike variants elucidate the preservation of t cell immune response to the sars-cov-2 omicron variant,a. solanki; j. cornette; j. udell; g. vasmatzis; m. riedel,ieee/acm transactions on computational biology and bioinformatics,ieee,0,,0,Q2,quartile,excluded,excluded
2048,2023,red blood cell membrane camouflaged mesoporous silica nanorods as nanocarriers for synergistic chemo-photothermal therapy,s. zong; c. cao; k. chen; y. cui; j. li; z. wang,ieee transactions on nanobioscience,ieee,2,,1,Q2,quartile,excluded,excluded
2049,2023,a review of protein sequences of covid-19 using machine learning and deep learning approaches,a. golwelkar; a. kothari,ieee international conference on ict in business industry & government (ictbig),ieee,0,3,0,,h5-index,excluded,excluded
2066,2024,multi-stage multi-robot cooperative hunting with dynamic alliance,j. yang; h. wei; l. pan; h. shao; d. li; y. li; l. shi,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
2081,2022,nash pursuit strategy for nonzero-sum mpc game via inverse optimal control,t. qiu; h. zhang; j. wang,asian control conference (ascc),ieee,3,11,1,,h5-index,excluded,excluded
2083,2023,stealthy attacks on multi-agent reinforcement learning in mobile cyber-physical systems,s. alqahtani; t. halabi,cyber security in networking conference (csnet),ieee,0,12,0,,h5-index,excluded,excluded
2126,2024,escape with self-adaptive decision radius based on deep deterministic policy gradient in pursuit games,x. zhou; c. yang; w. wang; p. sun,ieee data driven control and learning systems conference (ddcls),ieee,0,13,0,,h5-index,excluded,excluded
2129,2023,building robust machine learning models for water quality prediction,p. lourdu mahimai doss; m. gunasekaran,international conference on integrated intelligence and communication systems (iciics),ieee,0,1,0,,h5-index,excluded,excluded
2137,2024,detecting stealthy gps spoofing attack against uavs using onboard sensors,a. finn; m. jia; y. li; j. yuan,ieee infocom - ieee conference on computer communications workshops (infocom wkshps),ieee,1,0,1,,h5-index,excluded,excluded
2173,2023,the evolution of cybersecurity in the big data era moving beyond data protection to data-driven security,j. singh,ieee international conference on ict in business industry & government (ictbig),ieee,1,3,0.5,,h5-index,excluded,excluded
2199,2022,an investigation on fragility of machine learning classifiers in android malware detection,h. rafiq; n. aslam; b. issac; r. h. randhawa,ieee infocom - ieee conference on computer communications workshops (infocom wkshps),ieee,10,0,3.333333333333333,,h5-index,excluded,excluded
2235,2023,venomave: targeted poisoning against speech recognition,h. aghakhani; l. schönherr; t. eisenhofer; d. kolossa; t. holz; c. kruegel; g. vigna,ieee conference on secure and trustworthy machine learning (satml),ieee,24,0,12,,h5-index,excluded,excluded
2261,2024,improved malware detection in android through ensemble modeling,m. meena; j. gajrani,international conference on emerging trends in networks and computer communications (etncc),ieee,1,0,1,,h5-index,excluded,excluded
2284,2022,cybersecurity issues in communication-based electrical protections,g. b. gaggero; m. rossi; p. girdinio; m. marchese,"international conference on electrical, computer and energy technologies (icecet)",ieee,5,13,1.666666666666667,,h5-index,excluded,excluded
2361,2022,proposed architecture of integrate blockchain with vat system in oman,m. mohamad; k. al harthy,"international conference on electrical, computer and energy technologies (icecet)",ieee,1,13,0.33333333333333331,,h5-index,excluded,excluded
2439,2022,deep learning for classification of fdis on time-series sensor data in cyber-physical power systems,s. d. roy; s. debbarma,ieee mediterranean electrotechnical conference (melecon),ieee,3,14,1,,h5-index,excluded,excluded
2487,2024,entropy-based attack detection and filtering for enhanced message reception in can networks,h. m. ramesh; a. kumar; y. huang; m. t. hoque chowdhury; j. k. debnath; b. xie,"international conference on electrical, computer and energy technologies (icecet)",ieee,0,13,0,,h5-index,excluded,excluded
2490,2024,risc-v power analysis attack mitigation in a gpu execution framework,n. lungu; b. b. dash; m. r. mishra; p. pattnayak; m. k. gourisaria; s. s. patra,international conference on intelligent cyber physical systems and internet of things (icoici),ieee,0,0,0,,h5-index,excluded,excluded
2491,2023,enhancing remote work security: a multi-key biometric authentication scheme for virtual workspaces,t. gundu,"international conference on electrical, computer and energy technologies (icecet)",ieee,2,13,1,,h5-index,excluded,excluded
2496,2024,enhancing microgrid resilience to false data injection,s. das; z. wang,"ieee international conference on communications, control, and computing technologies for smart grids (smartgridcomm)",ieee,0,0,0,,h5-index,excluded,excluded
2500,2024,configurable ro-puf with improved thermal stability for lightweight applications,a. gupta; s. f. naz; a. p. shah,international conference on microelectronics (icm),ieee,0,13,0,,h5-index,excluded,excluded
2509,2023,a light recipe to train robust vision transformers,e. debenedetti; v. sehwag; p. mittal,ieee conference on secure and trustworthy machine learning (satml),ieee,69,0,34.5,,h5-index,excluded,excluded
2530,2023,gleam: gan and llm for evasive adversarial malware,d. devadiga; g. jin; b. potdar; h. koo; a. han; a. shringi; a. singh; k. chaudhari; s. kumar,international conference on information and communication technology convergence (ictc),ieee,7,0,3.5,,h5-index,excluded,excluded
2547,2024,advancing malware detection using memory analysis and explainable ai approach,r. ch; j. manoranjini; s. pallavi; u. naresh; s. telang; s. kiran,international conference on intelligent cyber physical systems and internet of things (icoici),ieee,4,0,4,,h5-index,excluded,excluded
2548,2022,h4rm0ny: a competitive zero-sum two-player markov game for multi-agent learning on evasive malware generation and detection,c. molloy; s. h. h. ding; b. c. m. fung; p. charland,ieee international conference on cyber security and resilience (csr),ieee,6,12,2,,h5-index,excluded,excluded
2557,2022,advanced persistent threat detection: a particle swarm optimization approach,a. al mamun; h. al-sahaf; i. welch; s. camtepe,international telecommunication networks and applications conference (itnac),ieee,7,14,2.333333333333333,,h5-index,excluded,excluded
2570,2024,evading black-box classifiers without breaking eggs,e. debenedetti; n. carlini; f. tramèr,ieee conference on secure and trustworthy machine learning (satml),ieee,8,0,8,,h5-index,excluded,excluded
2635,2024,detecting cryptographic functions for string obfuscation,p. mondon; r. de lemos,ieee international conference on cyber security and resilience (csr),ieee,0,12,0,,h5-index,excluded,excluded
2636,2023,assessing and exploiting domain name misinformation,b. anderson; d. mcgrew,ieee european symposium on security and privacy workshops (euros&pw),ieee,1,0,0.5,,h5-index,excluded,excluded
2659,2024,deep learning-based mitigation of fabricated attacks in the industrial internet of things,r. k. beldar,international conference on data science and network security (icdsns),ieee,0,6,0,,h5-index,excluded,excluded
2664,2024,loose formation obstacle avoidance control for multi-uav inspired by birds flocking based on power diagrams,t. zhang; y. liu; t. lu,ieee international conference on unmanned systems (icus),ieee,0,13,0,,h5-index,excluded,excluded
2669,2022,adversarial training against adversarial attacks for machine learning-based intrusion detection systems,muhammad shahzad haroon and husnain mansoor ali,"computers, materials and continua",sd,11,,3.666666666666667,Q2,quartile,excluded,excluded
2674,2024,network security enhanced with deep neural network-based intrusion detection system,fatma s. alrayes and mohammed zakariah and syed umar amin and zafar iqbal khan and jehad saad alqurni,"computers, materials and continua",sd,5,,5,Q2,quartile,excluded,excluded
2687,2024,"a review of generative adversarial networks for intrusion detection systems: advances, challenges, and future directions",monirah al-ajlan and mourad ykhlef,"computers, materials and continua",sd,1,,1,Q2,quartile,excluded,excluded
2704,2025,5dgwo-gan: a novel five-dimensional gray wolf optimizer for generative adversarial network-enabled intrusion detection in iot systems,sarvenaz sadat khatami and mehrdad shoeibi and anita ershadi oskouei and diego martã­n and maral keramat dashliboroun,"computers, materials and continua",sd,1,,inf,Q2,quartile,excluded,excluded
2735,2024,ariotedef: adversarially robust iot early defense system based on self-evolution against multi-step attacks,"huang, mengdie and lee, hyunwoo and kundu, ashish and chen, xiaofeng and mudgerikar, anand and li, ninghui and bertino, elisa",acm transactions on internet of things,acm,4,,4,Q2,quartile,excluded,excluded
2754,2024,aed: a novel approach for intrusion detection without abnormal samples in big data environment,"wang, xiaodong and qi, longyun and wei, xingshen and zhu, weiping and jiang, haitao and guan, zhitao",journal of data and information quality,acm,0,,0,Q2,quartile,excluded,excluded
2788,2023,joint iot/ml platforms for smart societies and environments: a review on multimodal information-based learning for safety and security,"attar, hani",journal of data and information quality,acm,10,,5,Q2,quartile,excluded,excluded
2820,2024,a dynamic threat prevention framework for autonomous vehicle networks based on ruin-theoretic security risk assessment,"anwar, anika and halabi, talal and zulkernine, mohammad",acm journal on autonomous transportation systems,acm,1,0,1,,h5-index,excluded,excluded
2903,2024,casper: context-aware iot anomaly detection system for industrial robotic arms,"kayan, hakan and heartfield, ryan and rana, omer and burnap, pete and perera, charith",acm transactions on internet of things,acm,9,,9,Q2,quartile,excluded,excluded
2907,2024,detecting poisoning attacks in collaborative idss of vehicular networks using xai and shapley value,"bataineh, ahmed saleh and zulkernine, mohammad and abusitta, adel and halabi, talal",acm journal on autonomous transportation systems,acm,1,0,1,,h5-index,excluded,excluded
2908,2024,systematic risk characterisation of hardware threats to automotive systems,"pickford, james and attale, rasadhi and shaikh, siraj and nguyen, hoang nga and harrison, lee",acm journal on autonomous transportation systems,acm,2,0,2,,h5-index,excluded,excluded
2958,2023,where do databases and digital forensics meet? a comprehensive survey and taxonomy,"seufitelli, danilo b. and brand\~{a}o, michele a. and fernandes, ayane c. a. and siqueira, kayque m. and moro, mirella m.",sigmod record,acm,1,,0.5,Q2,quartile,excluded,excluded
3076,2025,navigating tabular data synthesis research understanding user needs and tool capabilities,"davila r., maria f. and groen, sven and panse, fabian and wingerath, wolfram",sigmod record,acm,1,,inf,Q2,quartile,excluded,excluded
3079,2024,rampart: reinforcing autonomous multi-agent protection through adversarial resistance in transportation,"hossain, md tamjid and la, hung and badsha, shahriar",acm journal on autonomous transportation systems,acm,4,0,4,,h5-index,excluded,excluded
3134,2024,active learning for data quality control: a survey,"li, na and qi, yiyang and li, chaoran and zhao, zhiming",journal of data and information quality,acm,6,,6,Q2,quartile,excluded,excluded
3218,2023,fl4iot: iot device fingerprinting and identification using federated learning,"wang, han and eklund, david and oprea, alina and raza, shahid",acm transactions on internet of things,acm,15,,7.5,Q2,quartile,excluded,excluded
3279,2024,"security of electrical, optical, and wireless on-chip interconnects: a survey","weerasena, hansika and mishra, prabhat",acm transactions on design automation of electronic systems,acm,12,,12,Q2,quartile,excluded,excluded
3283,2022,"a survey on iot profiling, fingerprinting, and identification","safi, miraqa and dadkhah, sajjad and shoeleh, farzaneh and mahdikhani, hassan and molyneaux, heather and ghorbani, ali a.",acm transactions on internet of things,acm,53,,17.666666666666671,Q2,quartile,excluded,excluded
3292,2022,fast concurrent data sketches,"rinberg, arik and spiegelman, alexander and bortnikov, edward and hillel, eshcar and keidar, idit and rhodes, lee and serviansky, hadar",acm transactions on parallel computing,acm,15,,5,Q3,quartile,excluded,excluded
3302,2025,intrusion detection using ctgan and lightweight neural network for internet of things,das s.; majumder a.; namasudra s.; singh a.,expert systems,scopus,5,,inf,Q2,quartile,excluded,excluded
3303,2025,machine learning-inspired intrusion detection on vehicular communication for route planning,khatua s.; das s.; nandi a.; kumar a.; de d.; roy s.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3304,2025,framework for brute-force attack detection using federated learning,chethana datta j.; ananya s.; deepak m.; mungara n.; sarasvathi v.,"lecture notes of the institute for computer sciences, social-informatics and telecommunications engineering",scopus,0,,,Q4,quartile,excluded,excluded
3308,2025,making a real-time iot network intrusion-detection system (inids) using a realistic bot–iot dataset with multiple machine-learning classifiers,ashraf j.; raza g.m.; kim b.-s.; wahid a.; kim h.-y.,applied sciences (switzerland),scopus,0,,,Q2,quartile,excluded,excluded
3310,2025,adaptive semi-supervised algorithm for intrusion detection and unknown attack identification,li m.; luo l.; xiao k.; wang g.; wang y.,applied sciences (switzerland),scopus,0,,,Q2,quartile,excluded,excluded
3312,2025,leveraging meta-learning for enhanced false data injection detection in smart grids: the onf-ml approach,pourshirazi m.; simab m.; mirzaee a.; fani b.,iet renewable power generation,scopus,0,,,Q2,quartile,excluded,excluded
3314,2025,adversarially robust federated deep learning models for intrusion detection in iot,ennaji e.m.; hajla s.e.; maleh y.; mounir s.,indonesian journal of electrical engineering and computer science,scopus,0,,,Q3,quartile,excluded,excluded
3318,2025,explainable and perturbation-resilient model for cyber-threat detection in industrial control systems networks,izuazu u.u.; nwakanma c.i.; kim d.-s.; lee j.m.,discover internet of things,scopus,0,0,,,h5-index,excluded,excluded
3319,2025,big data with machine learning enabled intrusion detection with honeypot intelligence system on apache flink (bdml-idhis),mudgal a.; bhatia s.,journal of computer virology and hacking techniques,scopus,0,,,Q2,quartile,excluded,excluded
3321,2025,privacy-preserving intrusion detection using fedsplit learning,abid m.; benkaddour m.k.; benouis m.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3325,2025,deep learning for intrusion detection in iot networks,selem m.; jemili f.; korbaa o.,peer-to-peer networking and applications,scopus,3,,inf,Q2,quartile,excluded,excluded
3332,2025,enhancing robustness in nids via coverage guided fuzzing and adversarial training,rhee j.y.; park l.h.; kwon t.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3333,2025,from vulnerability to defense: the role of large language models in enhancing cybersecurity,kasri w.; himeur y.; alkhazaleh h.a.; tarapiah s.; atalla s.; mansoor w.; al-ahmad h.,computation,scopus,6,,inf,Q2,quartile,excluded,excluded
3339,2025,machine learning-envisioned malware attack detection mechanism for edge computing-based networks,bhutani p.; thapliyal s.; wazid m.; giri d.; mishra a.k.; singh d.p.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3340,2025,new continual federated learning system for intrusion detection in sdn-based edge computing,chetouane a.; karoui k.,concurrency computation practice and experience,scopus,1,,inf,Q2,quartile,excluded,excluded
3342,2025,enhancing accuracy through ensemble based machine learning for intrusion detection and privacy preservation over the network of smart cities,uppal m.; gulzar y.; gupta d.; uppal j.; kumar m.; saini s.,discover internet of things,scopus,0,0,,,h5-index,excluded,excluded
3343,2025,securing fog-enabled iot: federated learning and generative adversarial networks for intrusion detection,lei t.,telecommunication systems,scopus,0,,-inf,Q2,quartile,excluded,excluded
3344,2025,hcrp-osd: fine-grained open-set intrusion detection based on hybrid convolution and adversarial reciprocal points learning,cai n.; jiang y.; zhang h.; yang z.; zhong l.; chen q.,concurrency computation practice and experience,scopus,0,,,Q2,quartile,excluded,excluded
3345,2025,a review of deep learning applications in intrusion detection systems: overcoming challenges in spatiotemporal feature extraction and data imbalance,zhang y.; muniyandi r.c.; qamar f.,applied sciences (switzerland),scopus,0,,,Q2,quartile,excluded,excluded
3347,2025,advancements in training and deployment strategies for ai-based intrusion detection systems in iot: a systematic literature review,mallidi s.k.r.; ramisetty r.r.,discover internet of things,scopus,1,0,inf,,h5-index,excluded,excluded
3348,2025,investigating the transferability of evasion attacks in network intrusion detection systems considering domain-specific constraints,mbow m.; roman r.; seal a.; wang k.i.-k.; mohanty s.k.; sakurai k.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3349,2025,enhanced hybrid deep learning models-based anomaly detection method for two-stage binary and multi-class classification of attacks in intrusion detection systems,kamal h.; mashaly m.,algorithms,scopus,2,,inf,Q2,quartile,excluded,excluded
3354,2025,a comprehensive survey on deep learning-based intrusion detection systems in internet of things (iot),al-haija q.a.; droos a.,expert systems,scopus,4,,inf,Q2,quartile,excluded,excluded
3362,2025,detection and analysis of cyber-attacks on iot network devices,adamu b.z.; kilincer i.f.; ertam f.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3367,2025,cascaded intrusion detection system using machine learning,ahamed m.k.u.; karim a.,systems and soft computing,scopus,1,,inf,Q3,quartile,excluded,excluded
3371,2025,adaptive machine learning-based intrusion detection systems for iot era,vadisetty r.,lecture notes in networks and systems,scopus,11,,inf,Q4,quartile,excluded,excluded
3376,2025,performance analysis of machine learning classifiers on cicids2017 dataset,reddy p.m.; upadhyay l.; rakesh l.,lecture notes in electrical engineering,scopus,0,,,Q4,quartile,excluded,excluded
3378,2025,auction-based optimization with machine learning for cyber threat detection and classification model,alqahtani h.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3381,2025,deep learning architectures for automated threat detection and mitigation in modern cyber security systems,gowdham c.; deshmukh m.; harika p.l.; saqib m.; barboza-sanchez l.j.,journal of information systems engineering and management,scopus,0,,,Q4,quartile,excluded,excluded
3385,2025,conflow: contrast network flow improving class-imbalanced learning in network intrusion detection,liu l.; wang p.; ruan j.; lin j.; hu j.,"lecture notes of the institute for computer sciences, social-informatics and telecommunications engineering",scopus,7,,inf,Q4,quartile,excluded,excluded
3386,2025,malicious attack detection using deep learning in iot network,srivastava a.; narayanan v.a.; sumesh a.k.,lecture notes in electrical engineering,scopus,0,,,Q4,quartile,excluded,excluded
3387,2025,"evaluating the effectiveness of machine learning, deep learning, and evolutionary algorithms in intrusion detection systems",anandpwar w.; barhate s.; dhore m.,lecture notes in electrical engineering,scopus,0,,,Q4,quartile,excluded,excluded
3388,2025,an analysis of ml-based intelligent ids for wireless sensor networks,dhengre s.g.; sayyad s.f.,lecture notes in electrical engineering,scopus,1,,inf,Q4,quartile,excluded,excluded
3390,2025,masqueradegan-gp: a generative adversarial network framework for evading black-box intrusion detection systems,dong b.; wang h.; luo r.,internet technology letters,scopus,0,,,Q3,quartile,excluded,excluded
3391,2025,ai techniques for automated penetration testing in mqtt networks: a literature investigation,alencar r.c.; fernandes b.j.t.; lima p.h.e.s.; da silva c.m.r.,international journal of computers and applications,scopus,0,,,Q2,quartile,excluded,excluded
3392,2025,an investigation into the performance of non-contrastive self-supervised learning methods for network intrusion detection,fard h.; schalau t.; wunder g.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3393,2025,dcnn-bigru: a proficient hybrid classifier for reliable intrusion detection and prevention: hybrid approach,sharma n.; nihalani n.,international journal of industrial engineering : theory applications and practice,scopus,0,,,Q3,quartile,excluded,excluded
3394,2025,guardev: guided unified adaptive response for defending electric vehicles,mondal k.k.; das d.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3395,2025,enhancing iot security: hybrid machine learning approach for iot attack detection,panthakkan a.; m anzar s.; j. m. shehada d.; mansoor w.; al ahmad h.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3397,2025,fedmade: robust federated learning for intrusion detection in iot networks using a dynamic aggregation method,sun s.; sharma p.; nwodo k.; stavrou a.; wang h.,lecture notes in computer science,scopus,3,,inf,Q2,quartile,excluded,excluded
3400,2025,a systematic review paper on attack detection systems in internet of things environment,kant u.; kumar v.,lecture notes in networks and systems,scopus,0,,,Q4,quartile,excluded,excluded
3402,2025,securing networks: a deep learning approach with explainable ai (xai) and federated learning for intrusion detection,fatema k.; anannya m.; dey s.k.; su c.; mazumder r.,lecture notes in computer science,scopus,2,,inf,Q2,quartile,excluded,excluded
3403,2025,an ensemble system for machine learning iot intrusion detection based on enhanced artificial hummingbird algorithm,shi l.; yang q.; gao l.; ge h.,journal of supercomputing,scopus,2,,inf,Q2,quartile,excluded,excluded
3404,2025,iot guardian: an intelligent framework for multi-class intrusion detection with machine learning,panthakkan a.; sagherji l.; alshehabi m.; shehada d.j.m.; mansoor w.,lecture notes in electrical engineering,scopus,2,,inf,Q4,quartile,excluded,excluded
3409,2025,an enhanced intrusion detection method combined with contrastive federated learning,ge y.; gao y.; li x.; cai b.; xi j.; han q.; liang y.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3410,2025,enhancing cybersecurity and privacy protection for cloud computing-assisted vehicular network of autonomous electric vehicles: applications of machine learning,yang t.; sun r.; rathore r.s.; baig i.,world electric vehicle journal,scopus,3,,inf,Q2,quartile,excluded,excluded
3415,2025,a hybrid machine learning approach for feature selection in designing intrusion detection systems (ids) model for distributed computing networks,pourardebil khah y.; hosseini shirvani m.; motameni h.,journal of supercomputing,scopus,0,,,Q2,quartile,excluded,excluded
3416,2025,enhanced bayesian network classifier for intrusion detection: integrating semi-lazy learning and multi-conditional entropy,liu y.; wu q.; zhang x.,proceedings of spie - the international society for optical engineering,scopus,0,,,-,quartile,excluded,excluded
3418,2025,optimizing feature selection in intrusion detection systems using a genetic algorithm with stochastic universal sampling,akula r.; kumar g.n.,international journal of advanced computer science and applications,scopus,0,,,Q3,quartile,excluded,excluded
3419,2025,future-proofed intrusion detection for internet of things with machine learning,adeyemi t.; ngobigha f.; ez-zizi a.,ieee international conference on ai in cybersecurity (icaic),scopus,0,0,,,h5-index,excluded,excluded
3422,2025,analyzing artificial intelligence based intrusion detection system in detecting ddos attack,kurra s.s.; rayana l.; yoosuf m.s.,"smart innovation, systems and technologies",scopus,0,,,Q4,quartile,excluded,excluded
3425,2025,ddos attack autonomous detection model based on multi-strategy integrate zebra optimization algorithm,li c.; wang x.; zhang q.; liang j.; zhang a.,"computers, materials and continua",scopus,1,,inf,Q2,quartile,excluded,excluded
3429,2025,detecting cyber and physical attacks against mobile robots using machine learning: an empirical study,nyusti l.; chockalingam s.; bours p.; bodal t.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3432,2025,sophon ids: mitigating the effectiveness of gan-based adversarial attacks via tailored misinformation,liu z.; ye q.; cui f.,lecture notes in computer science,scopus,0,,,Q2,quartile,excluded,excluded
3433,2025,a hybrid feature selection and aggregation strategy-based stacking ensemble technique for network intrusion detection,huang y.; chen g.; gou j.; fan z.; liao y.,applied intelligence,scopus,3,,inf,Q2,quartile,excluded,excluded
3435,2025,advancing machine learning and deep learning techniques for predictive analytics in cyber security and data science applications,kodali r.k.; kumar s.; inumula k.m.; ponce l.a.h.,journal of information systems engineering and management,scopus,229,,inf,Q4,quartile,excluded,excluded
