workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
2211,2022,detection of malicious attacks in autonomous cyber-physical inverter-based microgrids,i. zografopoulos; c. konstantinou,ieee transactions on industrial informatics,ieee,47,114,15.66666666666667,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2212,2022,robustness enhanced sensor assisted monte carlo localization for wireless sensor networks and the internet of things,a. bochem; h. zhang,ieee access,ieee,35,164,11.66666666666667,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2213,2022,stability assessment of secondary frequency control system with dynamic false data injection attacks,c. chen; x. zhang; m. cui; k. zhang; j. zhao; f. li,ieee transactions on industrial informatics,ieee,23,114,7.666666666666667,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2214,2023,sparse actuator attack detection and identification: a data-driven approach,z. zhao; y. xu; y. li; y. zhao; b. wang; g. wen,ieee transactions on cybernetics,ieee,23,,11.5,Q1,quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2215,2023,toward attack modeling technique addressing resilience in self-driving car,j. m. qurashi; k. m. jambi; f. e. eassa; m. khemakhem; f. alsolami; a. a. basuhail,ieee access,ieee,9,164,4.5,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2216,2024,new adversarial image detection based on sentiment analysis,y. wang; t. li; s. li; x. yuan; w. ni,ieee transactions on neural networks and learning systems,ieee,14,119,14,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2217,2023,a survey on deep learning for website fingerprinting attacks and defenses,p. liu; l. he; z. li,ieee access,ieee,14,164,7,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2218,2023,real time perfect bit modification attack on in-vehicle can,y. lee; y. -e. kim; j. -g. chung; s. woo,ieee transactions on vehicular technology,ieee,2,120,1,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2220,2022,ghostleg: selective memory coalescing for secure gpu architecture,j. lee; s. jung; t. suh; y. oh; m. k. yoon; g. koo,ieee access,ieee,2,164,0.66666666666666663,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
2221,2024,detection of malicious command injection attacks against static var compensators in smart grids,s. chakrabarty; b. sikdar,ieee transactions on smart grid,ieee,0,130,0,Q1,h5-index+quartile,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,journals
