workbook_record_id,year,title,author_list,venue,engine,citation_count,h5_index,mean_citation,quartile,quality_signal_available,title_stage_decision,abstract_keyword_stage_decision,post_abstract_decision,quality_decision,survey_decision,nids_scope_decision,access_decision,selected_for_detailed_review,retained_for_taxonomy_mapping,taxonomy_mapping_status,included_in_final_primary_corpus,source_sheet
1153,2022,adversarial attacks in industrial control cyber physical systems,h. figueroa; y. wang; g. c. giakos,ieee international conference on imaging systems and techniques (ist),ieee,9,,3,,none,maybe_include,exclude,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1154,2023,gated recurrent units for intrusion detection,v. tanksale,ieee ias global conference on emerging technologies (globconet),ieee,5,,2.5,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1155,2022,a study on anomaly detection with deep learning models for iot time series sensor data,u. sachdeva; p. r. vamsi,international conference on signal processing and communication (icsc),ieee,4,,1.333333333333333,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1156,2024,multiclass imbalance resampling techniques for network intrusion detection,z. saharuna; t. ahmad,international conference on smart computing and communication (icscc),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1160,2024,gai-enhanced intrusion detection using began-gru framework to address data imbalance,s. s; c. thomas,"international conference on automation, computing and renewable systems (icacrs)",ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1162,2023,incorporation of deep learning (dl) techniques to make intelligent and adaptable wireless communication systems,a. tiwari; s. kumar; a. rengarajan,"international conference on advances in computation, communication and information technology (icaiccit)",ieee,1,,0.5,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1164,2023,tackling sybil attacks in intelligent connected vehicles: a review of machine learning and deep learning techniques,y. zhong; b. yang; y. li; h. yang; x. li; y. zhang,international conference on computational intelligence and applications (iccia),ieee,2,,1,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1165,2022,research on quantum machine learning technology based on regenerating kernel hilbert space,j. tian; x. chen; c. li,"international signal processing, communications and engineering management conference (ispcem)",ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1170,2024,knowledge distillation for improved resilience in network intrusion detection systems,t. -n. v. dinh; n. -p. h. nguyen; a. -d. tran; k. -h. le,international conference on advanced technologies for communications (atc),ieee,0,,0,,none,maybe_include,include,include,fail,not_survey,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
1171,2024,ai meets cyber defense: enhancing network security with gan-driven nids,s. p. s; a. paul; a. kumar; a. george,international conference on advances in computing and communications (icacc),ieee,0,,0,,none,exclude,not_reviewed_at_this_stage,exclude,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,not_reviewed_at_this_stage,no,no,not_selected_for_taxonomy_mapping,no,unranked
