Title;Paper;Year;Venue;Dataset;Model type;NIDS granularity;Surface;Phase;Position/Access;Knowledge;Goal;Attack technique;Defense technique;Code/Data availability;Evaluation metrics
constraining adversarial attacks on network intrusion detection systems: transferability and defense analysis;Alhussien et al.;2024;TNSM;"UNSW-NB15; IoT-23 ";"Tabular NN; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;"Gray-box; White-box";Integrity-Evasion;"Gradient-based; Zeroth-order; Surrogate/Transfer-based";Adversarial retraining;Code+Data;"Accuracy; ASR; VAR"
defeating and improving network flow classifiers through adversarial machine learning;Merkli et al.;2024;CyCon;LockedShields-17/18;Tree-based;Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Heuristic/Search-based;"Adversarial retraining; Robust training";None;"Accuracy; Precision; Recall; F1; ASR"
 Detection of Low Rate DDoS with Adversarial Attacks by Enhanced Generative Adversarial Networks;Hsiao and Yang;2024;SMC;"ISCX-SlowDoS-2016; IoT-23; ToN-IoT; Kitsune-Mirai; BoT-IoT ";"Tabular NN; KNN; Linear/Probabilistic; Sequence/Temporal; Tree-based";Packet-based, Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;"Adversarial retraining; Ensemble";Data-only;"Accuracy; Precision; Recall; F1; AUC"
generating adversarial samples via a combination of feature selection and optimized perturbation methods;Fan et al.;2024;CSCWD;"NSL-KDD; UNSW-NB15; CSE-CIC-IDS-2018";"CNN; Tabular NN";Flow-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;None;Data-only;"Accuracy; ASR; AMD, NAMI"
gradient correlation based detection of adversarial attacks on vehicular networks;Lai et al.;2024;ComNet;Custom capture;Sequence/Temporal;Packet-based;Feature-level;Inference-time;Insider limited;White-box;Integrity-Evasion;Gradient-based;Adversarial detection;None;"Accuracy; Precision; Recall; F1; FPR; FNR"
nids-vis: improving the generalized adversarial robustness of network intrusion detection system;He et al.;2024;COSE;UQ-IoT-IDS-2021;Autoencoder;Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Unknown;Decision-boundary regularization;Code+Data;"AP; OF1; MLE"
personalized federated learning-based intrusion detection system: poisoning attack and defense;Thein et al.;2024;FGCS;N-BaIoT;CNN;Flow-based;Data-level;Training-time;Insider privileged;White-box;Integrity-Poisoning;"Label-flipping; Gradient-based";"Decision-boundary regularization; Poisoned model detection";Code-only;"Accuracy; F1; ASR"
poisoning and evasion: deep learning-based nids under adversarial attacks;Mohammadian et al.;2024;PST;"CIC-IDS-2017; CSE-CIC-IDS-2018; UNSW-NB15";Tabular NN;Flow-based;"Data-level; Feature-level";Continuous;Insider privileged;Gray-box;"Integrity-Poisoning; Integrity-Evasion";"Gradient-based; Label-flipping";None;Data-only;"Accuracy; F1; Precision; Recall; ASR"
problem space structural adversarial attacks for network intrusion detection systems based on graph neural networks;Venturi et al.;2024;arXiv;"CTU-13; ToN-IoT ";Graph-based NN;Flow-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Heuristic/Search-based;None;Code+Data;"Accuracy; F1; Recall; Precision"
progen: projection-based adversarial attack generation against network intrusion detection;Wang et al.;2024;TIFS;"CSE-CIC-IDS-2018; CIC-IDS-2017; UNSW-NB15";"CNN; KNN; Sequence/Temporal; Tree-based";Flow-based;Network-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;Generative/Learning-based;None;Data-only;"Accuracy; Precision; Recall; F1; ASR"
robens: robust ensemble adversarial machine learning framework for securing iot traffic;Alkadi et al.;2024;Sensors;"UNSW-NB15; ToN-IoT; Edge-IIoTset";"Tabular NN; Linear/Probabilistic; Tree-based";Flow-based;Feature-level;Inference-time;Insider limited;Gray-box;Integrity-Evasion;"Gradient-based; Surrogate/Transfer-based; Heuristic/Search-based; Zeroth-order; Boundary-based";"Adversarial retraining; Feature squeezing; Ensemble";Data-only;"Accuracy; FPR; Recall; ASR"
